"","x"
"1295","NETO1"
"1296","ZNF236-DT"
"1297","ZNF440"
"1298","ZNF536"
"1299","ZNF229"
"1300","SAE1"
"1301","ZNF473"
"1302","CACNG8"
"1303","SIRPG-AS1"
"1304","PLCB1"
"1305","SNAP25-AS1"
"1306","DSTN"
"1307","SNX5"
"1308","KIZ"
"1309","PPP1R16B"
"1310","TOP1"
"1311","SDC4"
"1312","TSHZ2"
"1313","LIPI"
"1314","CHODL"
"1315","MIR548XHG"
"1316","LINC00113"
"1317","AGPAT3"
"1318","YBEY"
"1319","DIP2A"
"1320","MTMR3"
"1321","SYN3"
"1322","NCF4-AS1"
"1323","PHF21B"
"1324","TBC1D22A"
"1325","ACR"
"1326","KCNAB2"
"1327","RNF220"
"1328","RNF220"
"1329","RNF220"
"1330","MAST2"
"1331","LDLRAD1"
"1332","L1TD1"
"1333","DOCK7"
"1334","SRSF11"
"1335","SELENOF"
"1336","LINC01708"
"1337","DENND2C"
"1338","LINC00970"
"1339","ASTN1"
"1340","ASTN1"
"1341","PTPN14"
"1342","GPATCH2"
