,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
1363_H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673_A2,0.2505585,0.14130558,0.20111941,0.10076325,0.7076478,0.1442172,0.111802526,0.10956563,0.06879043,0.08754469,0.21681824,0.15635617,0.052125446,0.072170205,0.111800775,0.17811897,0.10837717,0.08725888,0.18219286,0.15484644,0.060049653,0.110885024,0.12062952,0.13981183,0.07605277,0.056344017,0.18672542,0.15733553,0.114912294,0.037675664,0.09509342,0.080047034,0.10841307,0.12879717,0.17081259,0.060943127,0.14070041,0.13484538,0.082366966,0.06539645,0.20230916,0.15114741,0.1260996,0.15760684,0.3916977,0.19067909,0.09074215,0.15137152,0.19765566,0.11651386,0.07869744,0.05608417,0.058746807,0.09692948,0.08102285,0.13197833,0.10134441,0.061732516,0.063112006,0.07280661,0.09203102,0.06257236,0.18953903,0.08392641,0.18883556,0.07493555,0.08480305,0.05857867,0.084604174,0.07854704,0.07832503,0.07878864
1673_A3,0.240089,0.120887354,0.20487623,0.11287319,0.9775016,0.1418004,0.12383243,0.107139744,0.05843553,0.0599989,0.18901074,0.1446099,0.07931614,0.06926063,0.06920128,0.19419318,0.11313864,0.12423426,0.17775357,0.13178506,0.07430031,0.13184085,0.12557311,0.13996674,0.07429261,0.069320016,0.15634349,0.1704424,0.11677203,0.051025078,0.08578253,0.09254838,0.097129084,0.12471224,0.16498506,0.034053538,0.14674978,0.114480995,0.107954815,0.093164094,0.17624445,0.17708352,0.09226496,0.16357993,0.19167686,0.19155714,0.09914859,0.14165355,0.15049922,0.06691422,0.09154522,0.06666176,0.08111508,0.08167287,0.08214401,0.078774996,0.0777079,0.067027524,0.0664413,0.051277913,0.0934064,0.039324265,0.12689257,0.058892038,0.18652359,0.07337647,0.054384362,0.037556544,0.10891185,0.050149165,0.1302424,0.0733478
1673_D2,0.17254734,0.13122064,0.20606822,0.1338568,0.8442373,0.12134471,0.14046755,0.1290602,0.07938519,0.0902249,0.35027042,0.1305716,0.06702673,0.0800983,0.104609385,0.19625948,0.14087777,0.10539643,0.1729555,0.14061621,0.066740245,0.122975044,0.12561232,0.13593458,0.07739385,0.056651983,0.17897826,0.17540732,0.11437632,0.052862693,0.09746698,0.10535301,0.08998399,0.15669295,0.19777347,0.04541436,0.1464656,0.12822446,0.11588313,0.09977503,0.20071395,0.1537319,0.08311536,0.18388893,0.25160122,0.20396055,0.11261645,0.13875563,0.15690559,0.088796936,0.067662366,0.04770488,0.104975685,0.086502925,0.10606922,0.089559905,0.095809385,0.08668276,0.050782178,0.06294159,0.099202916,0.044563938,0.15440887,0.07198286,0.20284751,0.08857952,0.062768325,0.045970034,0.10345071,0.08346684,0.09165372,0.084018126
604_B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604_B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604_B6,0.1655609,0.1623268,0.18479031,0.1283897,0.80614746,0.20038928,0.16987279,0.0873586,0.080814555,0.088009134,0.12964758,0.18885446,0.08742925,0.089794256,0.163449,0.21763262,0.1517043,0.16836149,0.18891364,0.16020975,0.07213657,0.062546894,0.10503646,0.16569085,0.11957187,0.091897845,0.17804033,0.15472418,0.13284473,0.04514752,0.1391692,0.086961485,0.078330345,0.21690542,0.19482267,0.073262244,0.1621223,0.19116996,0.10939684,0.094098814,0.23711835,0.16496804,0.16653387,0.19374968,0.26360178,0.19119953,0.14809199,0.17542563,0.14622132,0.04815358,0.11220896,0.08482261,0.10227529,0.09001,0.08706818,0.14144295,0.13386256,0.06053582,0.08160982,0.127778,0.09016035,0.085840374,0.1214341,0.0594684,0.17016955,0.07722467,0.07287727,0.07630962,0.11447865,0.07083291,0.12011846,0.067808695
1743_A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743_C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743_F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113_D1,0.2236642,0.14387481,0.18632181,0.1013589,0.9282681,0.15071906,0.11828178,0.09392056,0.07075235,0.06374319,0.10032452,0.12663165,0.07127731,0.082759365,0.11904178,0.18329409,0.12579112,0.11088458,0.1837743,0.13057399,0.08646846,0.11017622,0.114481,0.15883078,0.09816264,0.070604965,0.1681352,0.16484854,0.12250158,0.05465193,0.13449246,0.08999728,0.09330156,0.10362531,0.15940526,0.042897414,0.1615679,0.15801066,0.104800425,0.09286789,0.18223314,0.16462655,0.11848535,0.1478429,0.19391115,0.19493216,0.11495373,0.15352617,0.12652214,0.06262788,0.108458206,0.06591942,0.05214708,0.07746637,0.06544419,0.08023144,0.080044426,0.05954118,0.06227226,0.072429374,0.094198704,0.054480392,0.12617384,0.058828607,0.18952668,0.073259816,0.05510279,0.04903937,0.09554103,0.03798013,0.13144645,0.05590647
