,Classification
5828_313,0.81102216
5828_413,0.99723285
5828_513,0.037277512
5828_613,0.00070775463
5828_713,0.9236919
5828_813,0.96293056
5657_113,0.9743333
5657_213,0.92744046
5657_313,0.99986243
5657_413,0.033938695
5657_513,0.48323578
5657_613,0.97984844
5657_713,0.99928766
5657_813,0.9994266
4402_114,5.057989e-09
4402_214,9.306016e-08
4402_314,0.021412628
4402_414,0.0011749436
4402_514,0.0082122255
4402_614,0.24875581
4402_714,0.0015503782
4402_814,0.004974357
1864_114,0.11011353
1864_214,9.305767e-08
1864_314,0.9838246
1864_414,0.0009217967
1864_514,3.5495593e-10
1864_614,6.333152e-07
1864_714,0.9881017
1864_814,0.9817602
6032_114,6.82765e-11
6032_214,0.11011353
6032_314,2.9319393e-05
6032_414,0.9990507
6032_514,0.09806431
6032_614,0.47531897
6032_714,0.1071395
6032_814,0.32711112
4638_114,0.50058526
4638_214,0.90285516
4638_314,0.08482367
4638_414,0.94915295
4638_514,0.02342528
4638_614,0.85667306
4638_714,0.47160587
4638_814,0.73546803
1039_114,0.31948525
1039_214,0.6918768
1039_314,0.98216194
1039_414,1.2210363e-05
1039_514,0.73327994
1039_614,0.031892855
1039_714,0.9879545
1039_814,0.24721465
5919_114,6.473052e-07
5919_214,0.8143994
5919_314,0.9261793
5919_414,0.994307
5919_514,0.03279284
5919_614,0.99967456
5919_714,0.50026166
5919_814,0.9436219
5828_114,0.9999981
5828_214,0.02930747
5828_314,0.0035565929
5828_414,0.99022734
5828_514,0.99996114
5828_614,0.5294625
5828_714,0.09613284
5828_814,0.98976445
5657_114,0.5522911
5657_214,0.0028239351
5657_314,0.9993228
5657_414,0.9931666
5657_514,0.77441436
5657_614,0.34639785
5657_714,0.9417265
5657_814,0.8560864
4402_115,0.11011353
4402_215,6.716742e-09
4402_315,0.38853252
4402_415,0.9999993
4402_515,0.99577576
4402_615,0.10599871
4402_715,0.8825403
4402_815,0.18186468
1864_115,0.11011353
1864_215,1.1851554e-08
1864_315,0.46200225
1864_415,1.0703739e-12
1864_515,0.9886262
1864_615,1.4157324e-06
1864_715,0.39419055
