ctype,sig,a0,a1
CLLE-ES,SBS7d,0,0
CLLE-ES,SBS8,5.18006781079441E-05,-8.31284760052819E-07
CLLE-ES,SBS9,1.76274641535566E-05,-2.90894705934558E-07
CLLE-ES,SBS10a,0,0
CLLE-ES,SBS10b,0,0
CLLE-ES,SBS11,0,0
CLLE-ES,SBS12,0,0
CLLE-ES,SBS13,0,0
CLLE-ES,SBS14,0,0
CLLE-ES,SBS15,0,0
CLLE-ES,SBS16,0,0
CLLE-ES,SBS17a,0,0
CLLE-ES,SBS17b,0,0
CLLE-ES,SBS18,0,0
CLLE-ES,SBS19,0,0
CLLE-ES,SBS20,0,0
CLLE-ES,SBS21,0,0
CLLE-ES,SBS22,0,0
CLLE-ES,SBS23,1.26208067983102E-07,1.7669293451585E-08
CLLE-ES,SBS24,0,0
CLLE-ES,SBS25,0,0
CLLE-ES,SBS26,0,0
CLLE-ES,SBS27,0,0
CLLE-ES,SBS28,0,0
CLLE-ES,SBS29,0,0
CLLE-ES,SBS30,-5.77967607120931E-07,2.54227160835582E-08
CLLE-ES,SBS31,0,0
CLLE-ES,SBS32,0,0
CLLE-ES,SBS33,0,0
CLLE-ES,SBS34,6.66358967145577E-07,-8.83228857080425E-09
CLLE-ES,SBS35,0,0
CLLE-ES,SBS36,0,0
CLLE-ES,SBS37,0,0
CLLE-ES,SBS38,0,0
CLLE-ES,SBS39,3.39636656577639E-06,-5.57558193181004E-08
CLLE-ES,SBS40,0,0
CLLE-ES,SBS41,0,0
CLLE-ES,SBS42,0,0
CLLE-ES,SBS43,0,0
CLLE-ES,SBS44,0,0
CLLE-ES,SBS45,0,0
CLLE-ES,SBS46,0,0
CLLE-ES,SBS47,0,0
CLLE-ES,SBS48,0,0
CLLE-ES,SBS49,0,0
CLLE-ES,SBS50,0,0
CLLE-ES,SBS51,0,0
CLLE-ES,SBS52,3.17762963192154E-07,8.01382852617931E-10
CLLE-ES,SBS53,0,0
CLLE-ES,SBS54,0,0
CLLE-ES,SBS55,0,0
CLLE-ES,SBS56,0,0
CLLE-ES,SBS57,0,0
CLLE-ES,SBS58,7.37726466922246E-07,-6.90306911252267E-09
CLLE-ES,SBS59,0,0
CLLE-ES,SBS60,0,0
CLLE-ES,SBS84,0,0
CLLE-ES,SBS85,0,0
CLLE-ES,SBS86,0,0
CLLE-ES,SBS87,0,0
CLLE-ES,SBS88,0,0
CLLE-ES,SBS89,0,0
CLLE-ES,SBS90,0,0
CLLE-ES,Unknown,1.13817737681745E-05,-1.23168354428771E-07
COAD-US,SBS1,3.17501414856579E-05,-5.48103629753273E-07
COAD-US,SBS2,0,0
COAD-US,SBS3,0,0
COAD-US,SBS4,0,0
COAD-US,SBS5,0.000656066761162,-6.24112666962142E-06
COAD-US,SBS6,4.0045649065724E-05,-6.91309221997133E-07
COAD-US,SBS7a,0,0
COAD-US,SBS7b,0,0
COAD-US,SBS7c,0,0
COAD-US,SBS7d,0,0
COAD-US,SBS8,0,0
COAD-US,SBS9,0,0
COAD-US,SBS10a,0.002079453109444,-1.94954215678287E-05
COAD-US,SBS10b,0.000698678892659,-6.74958650065475E-06
COAD-US,SBS11,0,0
COAD-US,SBS12,0,0
COAD-US,SBS13,0,0
COAD-US,SBS14,0,0
COAD-US,SBS15,0,0
COAD-US,SBS16,0,0
COAD-US,SBS17a,0,0
COAD-US,SBS17b,0,0
COAD-US,SBS18,0,0
COAD-US,SBS19,0,0
COAD-US,SBS20,0,0
COAD-US,SBS21,0,0
COAD-US,SBS22,0,0
COAD-US,SBS23,0,0
COAD-US,SBS24,0,0
COAD-US,SBS25,0,0
COAD-US,SBS26,0,0
COAD-US,SBS27,0,0
COAD-US,SBS28,0.000434350726659,-3.23886304280171E-06
COAD-US,SBS29,0,0
COAD-US,SBS30,0,0
COAD-US,SBS31,0,0
COAD-US,SBS32,0,0
COAD-US,SBS33,0,0
COAD-US,SBS34,0,0
COAD-US,SBS35,0,0
COAD-US,SBS36,0,0
COAD-US,SBS37,-6.74864974971982E-06,2.415607044751E-07
COAD-US,SBS38,0,0
COAD-US,SBS39,0,0
COAD-US,SBS40,0,0
COAD-US,SBS41,0,0
COAD-US,SBS42,0,0
COAD-US,SBS43,0,0
COAD-US,SBS44,-5.52105899092791E-06,1.97620405378498E-07
COAD-US,SBS45,0,0
COAD-US,SBS46,0,0
COAD-US,SBS47,0,0
COAD-US,SBS48,0,0
COAD-US,SBS49,0,0
COAD-US,SBS50,0,0
COAD-US,SBS51,0,0
COAD-US,SBS52,0,0
COAD-US,SBS53,0,0
COAD-US,SBS54,0,0
COAD-US,SBS55,0,0
COAD-US,SBS56,0,0
COAD-US,SBS57,0,0
COAD-US,SBS58,0,0
COAD-US,SBS59,0,0
COAD-US,SBS60,0,0
COAD-US,SBS84,0,0
COAD-US,SBS85,0,0
COAD-US,SBS86,0,0
COAD-US,SBS87,0,0
COAD-US,SBS88,0,0
COAD-US,SBS89,0,0
COAD-US,SBS90,0,0
COAD-US,Unknown,0.000303489016952,-3.67731179772987E-06
DLBC-US,SBS1,2.54511971623888E-06,-1.84423633418181E-08
DLBC-US,SBS2,1.13949042108521E-06,-1.79184045638372E-08
DLBC-US,SBS3,3.67218080138771E-06,-5.81319998357083E-08
DLBC-US,SBS4,0,0
DLBC-US,SBS5,1.66051337208387E-05,-7.49281372863897E-08
DLBC-US,SBS6,1.55991194349581E-06,-1.32761087960118E-08
DLBC-US,SBS7a,0,0
DLBC-US,SBS7b,0,0
DLBC-US,SBS7c,0,0
DLBC-US,SBS7d,0,0
DLBC-US,SBS8,2.17329018199703E-06,-3.75175725688593E-08
DLBC-US,SBS9,5.0513679126792E-05,-7.71105880776575E-07
DLBC-US,SBS10a,0,0
DLBC-US,SBS10b,0,0
DLBC-US,SBS11,0,0
DLBC-US,SBS12,0,0
DLBC-US,SBS13,0,0
DLBC-US,SBS14,0,0
DLBC-US,SBS15,0,0
DLBC-US,SBS16,0,0
DLBC-US,SBS17a,1.46547422141279E-06,-1.82996250496945E-08
DLBC-US,SBS17b,3.89638124218093E-06,-4.92436440137455E-08
DLBC-US,SBS18,0,0
DLBC-US,SBS19,0,0
DLBC-US,SBS20,0,0
DLBC-US,SBS21,0,0
DLBC-US,SBS22,0,0
DLBC-US,SBS23,0,0
DLBC-US,SBS24,0,0
DLBC-US,SBS25,0,0
DLBC-US,SBS26,0,0
DLBC-US,SBS27,0,0
DLBC-US,SBS28,0,0
DLBC-US,SBS29,0,0
DLBC-US,SBS30,0,0
DLBC-US,SBS31,0,0
DLBC-US,SBS32,0,0
DLBC-US,SBS33,0,0
DLBC-US,SBS34,1.84444082617905E-06,-5.79343065416284E-09
DLBC-US,SBS35,0,0
DLBC-US,SBS36,9.59175317542421E-07,-1.44434573002668E-09
DLBC-US,SBS37,7.96090434006306E-07,8.33460072696254E-09
DLBC-US,SBS38,0,0
DLBC-US,SBS39,0,0
DLBC-US,SBS40,8.16588010623838E-07,-1.40967829336479E-08
DLBC-US,SBS41,0,0
DLBC-US,SBS42,0,0
DLBC-US,SBS43,0,0
DLBC-US,SBS44,0,0
DLBC-US,SBS45,0,0
DLBC-US,SBS46,0,0
DLBC-US,SBS47,0,0
DLBC-US,SBS48,0,0
DLBC-US,SBS49,0,0
DLBC-US,SBS50,0,0
DLBC-US,SBS51,0,0
DLBC-US,SBS52,0,0
DLBC-US,SBS53,0,0
DLBC-US,SBS54,0,0
DLBC-US,SBS55,0,0
DLBC-US,SBS56,2.25039667395971E-06,-2.73233849457572E-08
DLBC-US,SBS57,0,0
DLBC-US,SBS58,0,0
DLBC-US,SBS59,0,0
DLBC-US,SBS60,0,0
DLBC-US,SBS84,0,0
DLBC-US,SBS85,0,0
DLBC-US,SBS86,0,0
DLBC-US,SBS87,0,0
DLBC-US,SBS88,0,0
DLBC-US,SBS89,0,0
DLBC-US,SBS90,0,0
DLBC-US,Unknown,5.71885852899171E-06,-6.9703218701834E-08
EOPC-DE,SBS1,3.63453591367005E-05,-4.62756469881482E-07
EOPC-DE,SBS2,0,0
EOPC-DE,SBS3,0,0
