Signature,histone,pvalue_twosided,pvalue_greater,pvalue_lower
SBS39,H3K36me3,2.5995435667476E-08,0.999999987267881,1.2997717833738E-08
SBS40,H3K36me3,1.54217639092602E-200,1,7.71088195463009E-201
SBS41,H3K36me3,5.46725731149671E-20,1,2.73362865574836E-20
SBS42,H3K36me3,NA,1,1
SBS43,H3K36me3,NA,1,1
SBS44,H3K36me3,3.00886443943906E-16,1,1.50443221971953E-16
SBS45,H3K36me3,NA,1,1
SBS46,H3K36me3,NA,1,1
SBS47,H3K36me3,NA,1,1
SBS48,H3K36me3,NA,1,1
SBS49,H3K36me3,NA,1,1
SBS50,H3K36me3,NA,1,1
SBS51,H3K36me3,8.05724514963592E-08,0.999999962828238,4.02862257481796E-08
SBS52,H3K36me3,1.4079132578193E-10,7.03956628909649E-11,0.999999999931787
SBS53,H3K36me3,NA,1,1
SBS54,H3K36me3,NA,1,1
SBS55,H3K36me3,NA,1,1
SBS56,H3K36me3,3.18333269394505E-08,0.999999984158802,1.59166634697253E-08
SBS57,H3K36me3,NA,1,1
SBS58,H3K36me3,6.1422692190496E-29,1,3.0711346095248E-29
SBS59,H3K36me3,NA,1,1
SBS60,H3K36me3,2.26015945581846E-26,1,1.13007972790923E-26
SBS84,H3K36me3,NA,1,1
SBS85,H3K36me3,NA,1,1
SBS86,H3K36me3,NA,1,1
SBS87,H3K36me3,NA,1,1
SBS88,H3K36me3,NA,1,1
SBS89,H3K36me3,NA,1,1
SBS90,H3K36me3,NA,1,1
Unknown,H3K36me3,0.004612625714559,0.002306312857279,0.997693812072438
SBS1,H3K4ac,4.71718517776629E-28,1,2.35859258888314E-28
SBS2,H3K4ac,7.39883812481226E-06,3.69941906240613E-06,0.999996325270111
SBS3,H3K4ac,0.003199826375782,0.998421854168789,0.001599913187891
SBS4,H3K4ac,0.055526154991626,0.972651232721728,0.027763077495813
SBS5,H3K4ac,9.76475190608663E-07,4.88237595304332E-07,0.999999513123701
SBS6,H3K4ac,0.004457928256173,0.997974822005782,0.002228964128086
SBS7a,H3K4ac,0.003857292829943,0.998551747725888,0.001928646414971
SBS7b,H3K4ac,0.146707642066199,0.936955223023705,0.0733538210331
SBS7c,H3K4ac,0.236136970221653,0.903741213781764,0.118068485110826
SBS7d,H3K4ac,0.343252562436031,0.85683970160347,0.171626281218016
SBS8,H3K4ac,0.000839376836144,0.999584919414058,0.000419688418072
SBS9,H3K4ac,0.048646473314022,0.976560276749058,0.024323236657011
SBS10a,H3K4ac,0.695092793077638,0.668401520902511,0.347546396538819
SBS10b,H3K4ac,0.008265622271772,0.99651022809343,0.004132811135886
SBS11,H3K4ac,1,0.5,0.977249868051821
SBS12,H3K4ac,0.123880883578148,0.940120134321426,0.061940441789074
SBS13,H3K4ac,1.43198488129871E-08,7.15992440649356E-09,0.999999992912948
SBS14,H3K4ac,0.105645429201877,0.970470885454732,0.052822714600939
SBS15,H3K4ac,1,0.5,0.814453315238651
SBS16,H3K4ac,0.000101316974499,5.06584872495538E-05,0.999953465357917
SBS17a,H3K4ac,0.263775899227939,0.131887949613969,0.873461807432936
SBS17b,H3K4ac,0.002530559787534,0.001265279893767,0.998807375474549
SBS18,H3K4ac,0.096914408743612,0.95287979453985,0.048457204371806
SBS19,H3K4ac,0.014432823938842,0.007216411969421,0.994586539361434
SBS20,H3K4ac,0.446872820710831,0.823728931250143,0.223436410355415
SBS21,H3K4ac,0.422678074170635,0.211339037085318,0.90927539613929
SBS22,H3K4ac,0.154036504996382,0.924771811246461,0.077018252498191
SBS23,H3K4ac,0.932646638965876,0.600076947168763,0.466323319482938
SBS24,H3K4ac,NA,1,1
SBS25,H3K4ac,NA,1,1
SBS26,H3K4ac,0.589638551626567,0.294819275813283,0.79075388327659
SBS27,H3K4ac,NA,1,1
SBS28,H3K4ac,0.161765184977887,0.923075400731027,0.080882592488944
SBS29,H3K4ac,0.371093369522698,0.185546684761349,0.963180864939849
SBS30,H3K4ac,0.281444324954303,0.140722162477152,0.863061314575828
SBS31,H3K4ac,1,0.5,0.977249868051821
SBS32,H3K4ac,1,0.977249868051821,0.5
SBS33,H3K4ac,1,0.977249868051821,0.5
SBS34,H3K4ac,0.009141610945155,0.995740007855372,0.004570805472578
SBS35,H3K4ac,0.271332121892765,0.870460665438743,0.135666060946383
SBS36,H3K4ac,0.48978275936519,0.244891379682595,0.766689245671526
SBS37,H3K4ac,0.023466288246146,0.98894660578056,0.011733144123073
SBS38,H3K4ac,0.383750269517673,0.819788002275873,0.191875134758837
SBS39,H3K4ac,0.610120154797508,0.305060077398754,0.721850769362633
SBS40,H3K4ac,0.001103402732631,0.99945004908447,0.000551701366315
SBS41,H3K4ac,0.001131041475409,0.999452350343486,0.000565520737705
SBS42,H3K4ac,NA,1,1
SBS43,H3K4ac,NA,1,1
SBS44,H3K4ac,0.610298655976554,0.729591047878691,0.305149327988277
SBS45,H3K4ac,NA,1,1
SBS46,H3K4ac,NA,1,1
SBS47,H3K4ac,NA,1,1
SBS48,H3K4ac,NA,1,1
SBS49,H3K4ac,NA,1,1
SBS50,H3K4ac,NA,1,1
SBS51,H3K4ac,0.371093369522698,0.963180864939849,0.185546684761349
SBS52,H3K4ac,0.789268026134281,0.394634013067141,0.788660962914682
SBS53,H3K4ac,NA,1,1
SBS54,H3K4ac,NA,1,1
SBS55,H3K4ac,NA,1,1
SBS56,H3K4ac,0.900085797418725,0.574690798187351,0.450042898709362
SBS57,H3K4ac,NA,1,1
SBS58,H3K4ac,0.002575851019481,0.998828282230587,0.00128792550974
SBS59,H3K4ac,NA,1,1
SBS60,H3K4ac,0.358951435852626,0.845968385046401,0.179475717926313
SBS84,H3K4ac,NA,1,1
SBS85,H3K4ac,NA,1,1
SBS86,H3K4ac,NA,1,1
SBS87,H3K4ac,NA,1,1
SBS88,H3K4ac,NA,1,1
SBS89,H3K4ac,NA,1,1
SBS90,H3K4ac,NA,1,1
Unknown,H3K4ac,3.13654434145086E-19,1.56827217072543E-19,1
SBS1,H3K4me1,0,1,0
SBS2,H3K4me1,0.008592700457862,0.004296350228931,0.99570411445031
SBS3,H3K4me1,2.9979673421031E-16,1,1.49898367105155E-16
SBS4,H3K4me1,9.07396499308828E-27,1,4.53698249654414E-27
SBS5,H3K4me1,1.48965278460061E-113,7.44826392300306E-114,1
SBS6,H3K4me1,3.7122586491099E-16,1,1.85612932455495E-16
SBS7a,H3K4me1,3.95638375537307E-18,1,1.97819187768654E-18
SBS7b,H3K4me1,3.91987821385361E-10,0.999999999805592,1.95993910692681E-10
SBS7c,H3K4me1,4.07730530936212E-18,1,2.03865265468106E-18
SBS7d,H3K4me1,1.90033950754414E-19,1,9.50169753772069E-20
SBS8,H3K4me1,4.15345078310669E-71,1,2.07672539155334E-71
