Dataset,Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
Clonal,55e5497a-c623-11e3-bf01-24c6515278c0,0,0,0,0.2343682,0.5658636,0,0,0,0,0,0,0,0,0,0,0.1646798,0,0,0,0,0,0,0,0.013872235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021216154,0.9782687
Clonal,561fd34c-7c7d-4df0-bbfc-3d31147ca562,0,0,0,0,0,0,0.6619111,0.29863593,0.013522224,0.01582212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010108709,0.9989318
Clonal,56425c2e-6bbf-4b20-ba07-79a526dd4603,0.16921157,0,0.07269099,0,0.6718452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016856609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02534333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044052303,0.96255386
Clonal,5650dc4e-8bce-4716-9199-cd5750d7a888,0.38882253,0,0,0,0.551768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03240806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019155186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007846177,0.867427
Clonal,56c846d6-c622-11e3-bf01-24c6515278c0,0,0,0,0.095812134,0.47857413,0,0,0,0,0,0,0,0,0,0,0.37014103,0,0,0,0,0,0,0,0,0,0,0.0113554755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044117212,0.6991765
Clonal,56cc8740-b132-4cbc-b513-f0b5b2305ca6,0.19349648,0.06461703,0,0,0.5689057,0,0,0,0,0,0,0,0,0,0,0,0.03838973,0,0,0,0,0,0.116864756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007446587,0.99997306
Clonal,56d4ea48-c623-11e3-bf01-24c6515278c0,0,0,0,0.019207135,0.4328587,0,0,0,0,0,0,0,0,0,0,0.3311282,0,0,0,0.068701945,0,0,0,0,0,0,0.033467196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03729379,0.994802
Clonal,56ddcb96-e90b-4fce-aa4c-c677bbfee488,0.053436216,0,0,0.019053845,0.7737578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035837393,0,0.03094176,0,0,0,0,0,0,0,0,0,0,0,0,0.02057153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06640142,0.99998033
Clonal,5702affd-eafe-42a4-8f56-c1f22f8f184d,0.023031097,0,0.026750978,0,0.898543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051674902,0.93376225
Clonal,5714b52d-7048-41b5-8141-bf42d960abe4,0.22543764,0,0,0,0.7452025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029359877,0.77849746
Clonal,571ce258-b453-4cac-b05e-05755791be84,0.19557501,0,0,0,0.38550416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40044326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01847756,0.98258245
Clonal,573ee34b-43a7-40d8-95ee-0ced4b46a7c8,0.23889796,0,0,0,0.47391948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03046155,0.99611086
Clonal,578ba169-1d2f-4187-b174-082bbc6a5bd2,0.050549123,0,0,0,0.31262818,0.011206471,0,0,0,0,0,0.2503032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011211146,0,0,0.30830926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017850412,0,0,0,0,0,0,0,0,0,0,0,0.03794223,0.9971426
Clonal,57947014-053e-4c34-b6a7-9e6f36f48010,0.16724001,0.08299139,0,0,0,0,0,0,0,0.02076218,0,0,0,0.025596775,0.06548759,0,0,0,0,0,0.025642227,0,0,0.014049473,0.022403356,0,0,0,0,0,0,0,0,0,0,0,0.0337269,0,0,0,0,0,0.026023548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384097,0,0,0,0,0,0.07713504,0,0,0.020834502,0.034009993,0.0037493242
Clonal,589daa3f-0b76-4c9c-b494-048955e36052,0.20840012,0.01446225,0,0,0,0,0,0,0.017075252,0,0,0,0,0,0,0,0,0.025120683,0,0,0,0,0.055209804,0.03481581,0,0.03072259,0.025587391,0,0.048577625,0,0,0,0,0,0,0,0.028553996,0,0.01826053,0,0,0.0971974,0.019513648,0.063040644,0,0,0,0.030081267,0,0,0,0,0,0,0.05783657,0,0.02240304,0.013625835,0.07392151,0,0.016134256,0.016406469,0,0,0.019140285,0,0,0,0.03286557,0,0,0,0.031047523,0.30434826
Clonal,589e0aea-9057-4b8c-8af1-74c74fe46a38,0.034762092,0,0,0.08629896,0.78153026,0,0,0,0,0,0.01806925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013661973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065677464,0.9957023
Clonal,58d3e932-b4a3-4cac-a6ac-73160e354a15,0.19201453,0.037462983,0,0,0.55591327,0,0,0,0,0,0,0,0,0,0,0,0.022122663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17255816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019928455,0.9982217
Clonal,58e2453c-bb58-43a3-9642-705ec0e0bdbd,0.23120302,0,0,0,0.7305126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03828436,0.99729353
Clonal,58f4ff52-c623-11e3-bf01-24c6515278c0,0,0,0,0.055543777,0.52234685,0,0,0,0,0,0,0,0,0,0,0.264011,0,0,0,0.05575412,0,0,0,0,0,0,0.046348143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026816254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029179811,0.7429473
Clonal,5935dd9d-d411-48f8-8512-aa73a63878b0,0.24103244,0,0,0,0.6880071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03353178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037428677,0.99966216
Clonal,59632e7e-c622-11e3-bf01-24c6515278c0,0,0.03285401,0,0,0,0,0,0,0.047197748,0,0,0,0,0,0,0,0,0,0,0.0611675,0,0,0,0,0,0.079084344,0.041148845,0,0,0,0,0,0,0,0,0.07117032,0.10286704,0,0,0.06973615,0,0,0,0,0,0,0,0,0,0,0.2539134,0,0,0,0,0,0,0,0.019204872,0,0,0,0,0,0,0,0,0.019261142,0,0.05702625,0.051593676,0.045806054,0.047968745,0.13562673
Clonal,59938f45-3e57-43d6-af3b-bb4968249e5a,0.2478284,0,0,0,0.6477697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05929303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013136596,0,0,0,0,0,0,0,0,0,0.03197229,0.989929
Clonal,59bfcb53-91c1-4dce-856a-f4afc8fa6224,0.07262273,0.03513024,0,0,0,0,0,0,0,0.014493558,0.028949458,0,0.013964172,0,0,0,0,0.030403988,0,0,0,0,0,0,0,0,0.0117954565,0,0,0,0,0,0,0,0,0,0,0,0.013888436,0,0,0,0,0.018150358,0,0,0,0.050633572,0,0.01085873,0,0,0,0,0.36372846,0,0.015028393,0,0,0.027315615,0,0,0.23511375,0,0,0,0,0,0.015539318,0,0,0,0.04238379,6.023496E-05
Clonal,59c18694-8a43-41dd-a6f6-52a20bc8dd54,0.23822774,0,0,0,0.30921918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02429765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40452605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023729384,0.9989507
