bin,cancer_type,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
1,PAEN-IT,0.064661846,0.022368813,0.028164735,0,0.11902024,0.014558287,0,0.02352513,0,0,0.095780596,0.030617127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034601677,0,0,0,0.010023858,0,0.28832877,0,0,0,0.1986797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01574654,0,0,0,0,0,0,0,0,0,0,0,0.053922653,0.9702945
1,PBCA-DE,0.3360642,0,0,0,0.30045182,0,0,0,0,0,0.06894302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11311443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10994169,0,0,0,0,0,0,0,0,0,0.071484804,0.99376315
1,PRAD-CA,0.27738222,0,0,0,0.2702207,0,0,0,0,0,0.12203156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06989455,0.023577036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084247,0,0,0,0,0,0,0,0,0,0.096051455,0.99309653
1,PRAD-UK,0.35795918,0,0,0,0.28770262,0,0,0,0,0,0.041347254,0,0,0,0,0,0,0,0.011082798,0,0,0,0,0,0,0,0,0.012638348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017945986,0.018314717,0,0,0,0,0,0,0,0,0,0.013922597,0,0,0,0,0,0,0.1644274,0,0.013132789,0,0,0,0,0,0,0,0.0615263,0.983364
1,PRAD-US,0.2912839,0,0,0,0.19005293,0,0,0,0,0,0.019471608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37041634,0.011500966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062021583,0,0,0,0,0,0,0,0,0,0.05525267,0.9903994
1,READ-US,0,0,0,0,0.07690229,0,0,0,0,0,0,0,0.6165637,0.15858573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11688083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03106749,0.99783665
1,RECA-EU,0.033944823,0,0,0.031639066,0.023939999,0,0,0,0,0,0.01632877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22980398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012364449,0,0.63500553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016973376,0.99625176
1,SARC-US,0.08146798,0.01307915,0,0,0.14638747,0,0,0,0,0,0.5856479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08231311,0.028429864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06267452,0.9995752
1,SKCM-US,0,0,0,0,0,0,0.84529513,0.12532705,0.011374581,0.011741816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062614083,0.9949281
1,STAD-US,0.045670748,0,0,0,0.14805667,0.119219415,0.028543957,0.010883246,0,0,0,0,0.013812663,0,0,0,0,0.045164682,0,0,0.061439045,0.15060207,0,0,0.062345304,0,0,0,0,0,0.08508436,0,0,0,0,0,0,0,0.035582867,0,0,0.02221528,0,0,0,0.036897346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03390146,0,0,0,0,0,0,0,0,0,0,0,0.10058087,0.9854967
1,THCA-US,0.12935635,0.013937282,0,0,0.43054456,0,0,0,0,0,0.37699795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049163878,0.99880886
1,UCEC-US,0.040024336,0.013150253,0,0,0,0.1087062,0,0,0,0,0,0,0.104204394,0.016172767,0.033230603,0,0.016935006,0.14599788,0.12613374,0,0,0,0,0,0,0.020273173,0,0,0,0,0,0,0.023914073,0,0.012732624,0.018533455,0.040658694,0,0,0,0,0,0,0.012398066,0,0,0,0,0.17037754,0,0.022379654,0,0,0,0.01488551,0,0,0,0,0,0,0,0.010439893,0.01047639,0,0,0,0,0,0,0,0,0.038375735,0.005252278
