"","x"
"938","NAV2"
"939","NELL1"
"940","BBOX1-AS1"
"941","DCDC1"
"942","CD59"
"943","CD59"
"944","RAG1"
"945","LINC02760"
"946","LINC01493"
"947","LRRC4C"
"948","LRRC4C"
"949","LRRC4C"
"950","LINC01499"
"951","CRY2"
"952","LOC101928894"
"953","FEN1"
"954","SLC22A24"
"955","SHANK2"
"956","PAAF1"
"957","TENM4"
"958","GRM5"
"959","GRM5"
"960","DISC1FP1"
"961","MAML2"
"962","CNTN5"
"963","CNTN5"
"964","CNTN5"
"965","CNTN5"
"966","CNTN5"
"967","TRPC6"
"968","PDGFD"
"969","GRIA4"
"970","DRD2"
"971","CADM1"
"972","CBL"
"973","SORL1"
"974","KIRREL3"
"975","OPCML"
"976","OPCML"
"977","TEAD4"
"978","SLC2A14"
"979","YBX3"
"980","LINC02398"
"981","PDE3A"
"982","SOX5"
"983","ADAMTS20"
"984","TMEM117"
"985","BCDIN3D"
"986","LOC102724050"
"987","MIP"
"988","PPM1H"
"989","GRIP1"
"990","GRIP1"
"991","RAB21"
"992","MGAT4C"
"993","MGAT4C"
"994","MGAT4C"
"995","LOC105369911"
"996","APAF1"
"997","ANKS1B"
"998","LOC100287944"
"999","CLIP1"
"1000","TMEM132D"
"1001","TMEM132D"
"1002","ANKRD26P3"
"1003","SGCG"
"1004","RNF17"
"1005","PDS5B"
"1006","NBEA"
"1007","SPART"
"1008","VWA8"
"1009","VWA8"
"1010","CCDC122"
"1011","RB1-DT"
"1012","PCDH9"
"1013","LINC00550"
"1014","KLHL1"
"1015","DACH1"
"1016","GPC5"
"1017","GPC5"
"1018","GPC6"
"1019","GPC6"
"1020","MBNL2"
"1021","FARP1"
"1022","FGF14-IT1"
"1023","OR4K1"
"1024","STXBP6"
"1025","NOVA1"
"1026","G2E3-AS1"
"1027","G2E3-AS1"
"1028","PRORP"
"1029","SLC25A21"
"1030","MNAT1"
"1031","SYNE2"
"1032","RAD51B"
"1033","BBOF1"
"1034","LOC107984703"
"1035","MEG8"
"1036","MARK3"
"1037","SNHG14"
"1038","GABRG3"
"1039","OTUD7A"
"1040","GREM1"
"1041","CTDSPL2"
"1042","MIR4713HG"
"1043","UNC13C"
"1044","VPS13C"
"1045","CSNK1G1"
"1046","IQCH-AS1"
"1047","NEO1"
"1048","ARNT2"
"1049","LINC00924"
"1050","IGF1R"
"1051","ASB7"
"1052","ASB7"
"1053","RBFOX1"
"1054","GRIN2A"
"1055","SHISA9"
"1056","SHISA9"
"1057","IQCK"
"1058","PRKCB"
"1059","GSG1L"
"1060","CDH8"
"1061","LINC02126"
"1062","CNTNAP4"
"1063","CDH13"
"1064","CDH13"
"1065","CDH13"
"1066","ZZEF1"
"1067","SPECC1"
"1068","SUZ12"
"1069","ASIC2"
"1070","ASIC2"
"1071","ASIC2"
"1072","SMARCE1"
"1073","HROB"
"1074","ABCC3"
"1075","LINC01982"
"1076","DYNLL2"
"1077","KCNJ2"
"1078","CASC17"
"1079","LINC00673"
"1080","SDK2"
"1081","CCDC40"
"1082","CCDC178"
"1083","CCDC178"
"1084","ASXL3"
"1085","LINC00907"
"1086","LINC01478"
"1087","LINC01478"
"1088","SLC14A2"
"1089","LOXHD1"
"1090","DCC"
"1091","DCC"
"1092","DCC"
"1093","DCC"
"1094","STARD6"
"1095","LINC-ROR"
"1096","CPLX4"
"1097","CCDC102B"
"1098","DOK6"
"1099","RTTN"
"1100","LINC02864"
"1101","LINC02582"
"1102","ZNF407"
"1103","SUPT5H"
"1104","IGFL2-AS1"
"1105","KLK5"
"1106","SIGLEC6"
"1107","HAO1"
"1108","PLCB4"
"1109","LINC01722"
"1110","MACROD2"
"1111","MACROD2"
"1112","MACROD2"
"1113","NCOR1P1"
"1114","DEFB123"
"1115","ZMYND8"
"1116","MIR548XHG"
"1117","USP16"
"1118","LOC100506403"
"1119","PCBP3"
"1120","LINC02885"
"1121","CACNA1I"
"1122","PPARA"
"1123","SKI"
"1124","AJAP1"
"1125","CAMTA1"
"1126","TMEM274P"
"1127","CAPZB"
"1128","YTHDF2"
"1129","ELAVL4"
"1130","FGGY"
"1131","NFIA"
"1132","PTGER3"
"1133","ST6GALNAC3"
"1134","ST6GALNAC3"
"1135","GIPC2"
"1136","ADGRL2"
"1137","LPAR3"
"1138","CCDC18"
"1139","COL11A1"
"1140","LRRC52-AS1"
"1141","UCK2"
"1142","DNM3"
"1143","RABGAP1L-DT"
"1144","CD34"
"1145","TRIM67"
"1146","RYR2"
"1147","FMN2"
"1148","OR2T27"
"1149","CMPK2"
"1150","MIR3681HG"
"1151","BABAM2"
"1152","YPEL5"
"1153","NRXN1"
"1154","RTN4"
"1155","CCDC88A"
"1156","SPRED2"
"1157","ANTXR1"
"1158","LRRTM4"
"1159","LOC101927967"
"1160","ZNF2"
"1161","TBC1D8"
"1162","LRP1B"
"1163","ARHGAP15"
"1164","TANC1"
"1165","LINC01934"
"1166","SPAG16"
"1167","ATP2B2"
"1168","NEK10"
"1169","RBMS3"
"1170","SCN10A"
"1171","TDGF1"
"1172","QRICH1"
"1173","FHIT"
"1174","MAGI1"
"1175","TAFA4"
"1176","PDZRN3"
"1177","ROBO2"
"1178","ROBO2"
