,Classification
1576,0.9848626
1577,0.97972167
1578,0.96458966
1579,0.9722344
1580,0.98451716
1581,0.5561017
1582,0.42478353
1583,0.9862722
1584,0.98693675
1585,0.15462945
1586,0.9555994
1587,0.6634403
1588,0.9254169
1589,0.937726
1590,0.93425035
1591,0.9539882
1592,0.9844981
1593,0.8297238
1594,0.9763426
1595,0.88194895
1596,0.9862375
1597,0.85158426
1598,0.99611676
1599,0.92900604
1600,0.9957541
1601,0.8947395
1602,0.9870286
1603,0.960473
1604,0.9702213
1605,0.993361
1606,0.90190446
1607,0.7623435
1608,0.9421386
1609,0.9800193
1610,0.9986187
1611,0.99644595
1612,0.9317938
1613,0.8429763
1614,0.97688067
1615,0.9917235
1616,0.98695266
1617,0.058790956
1618,0.96489066
1619,0.9795401
1620,0.94061345
1621,0.99269956
1622,0.9989813
1623,0.94449705
1624,0.9661668
1625,0.9821984
1626,0.98455054
1627,0.6968059
1628,0.9694806
1629,0.89277744
1630,0.40819317
1631,0.9772464
1632,0.99418783
1633,0.9873209
1634,0.93373096
1635,0.9852991
1636,0.9959429
1637,0.040832445
1638,0.9630873
1639,0.9343151
1640,0.96518934
1641,0.999998
1642,0.9726556
1643,0.9919748
1644,0.9957617
1645,0.5610769
1646,0.996491
1647,0.90190727
1648,0.86700195
1649,0.99518895
1650,0.986858
1651,0.980553
1652,0.9661632
1653,0.98750114
1654,0.96447086
1655,0.69840044
1656,0.9932307
1657,0.9960542
1658,0.99071234
1659,0.99009764
1660,0.987518
1661,0.22416319
1662,0.989356
1663,0.99708986
1664,0.959149
1665,0.016319815
1666,0.64519304
1667,0.91904336
1668,0.9769646
1669,0.9991762
1670,0.9915863
1671,0.957122
1672,0.96154255
1673,0.94951564
1674,0.991576
