"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNFAIP81",1.24208876068824e-13,0.854799364234555,0.275,0.101,3.73533353001773e-09,"14","TNFAIP8"
"CYTOR1",1.78722610610987e-10,0.854334520240129,0.19,0.068,5.37472506890421e-06,"14","CYTOR"
"COMMD3",1.26193984858583e-12,0.854119378586442,0.133,0.036,3.79503170665216e-08,"14","COMMD3"
"RRP15",6.62822608539723e-13,0.853551787144534,0.213,0.072,1.99330643066151e-08,"14","RRP15"
"CEP681",6.24129653530829e-11,0.852940160990184,0.19,0.066,1.87694510706326e-06,"14","CEP68"
"DNAJC6",6.62042298246903e-08,0.852412959062933,0.147,0.056,0.00199095980351791,"14","DNAJC6"
"TRAF3IP2",3.05189645565635e-12,0.852091656076664,0.133,0.036,9.17796821109535e-08,"14","TRAF3IP2"
"AP1S22",1.67596006204625e-26,0.851193993628168,0.725,0.318,5.0401146945917e-22,"14","AP1S2"
"AC090945.1",1.14567570060385e-06,0.848488379492501,0.1,0.035,0.0344539053442596,"14","AC090945.1"
"SGCB1",1.96492904074792e-18,0.847790967960709,0.218,0.06,5.90913110424122e-14,"14","SGCB"
"APOBEC2",6.4753628553779e-22,0.847724151213734,0.275,0.078,1.94733587149779e-17,"14","APOBEC2"
"LINC005131",1.93507789601301e-13,0.844909184396439,0.218,0.073,5.81935975667993e-09,"14","LINC00513"
"TUBB61",4.57282221685496e-17,0.8445408037588,0.251,0.079,1.37518482527479e-12,"14","TUBB6"
"DUBR",2.75762885843978e-13,0.844085752188236,0.28,0.108,8.29301726598595e-09,"14","DUBR"
"DHRS7",8.47387617658135e-11,0.843188515168795,0.1,0.025,2.54834878258331e-06,"14","DHRS7"
"SLAIN2",2.353088353369e-26,0.842801879880816,0.664,0.272,7.0764426050866e-22,"14","SLAIN2"
"FAM171A1",5.7693414299824e-13,0.842590422936985,0.123,0.031,1.73501404823861e-08,"14","FAM171A1"
"RAD211",3.38586503930173e-17,0.842429026634587,0.318,0.111,1.01823119326921e-12,"14","RAD21"
"PSMA2",3.52321591560816e-13,0.842194260121282,0.142,0.039,1.05953672230084e-08,"14","PSMA2"
"ANKRD23",9.94779777831851e-20,0.841366971993898,0.678,0.324,2.99160122587372e-15,"14","ANKRD2"
"LINC005711",4.51544414230407e-23,0.840499211885728,0.512,0.197,1.3579295169151e-18,"14","LINC00571"
"CMSS11",3.50484593040552e-18,0.839579411773064,0.555,0.251,1.05401231665085e-13,"14","CMSS1"
"UCHL31",5.08474026236957e-10,0.837679069886912,0.185,0.068,1.5291339391024e-05,"14","UCHL3"
"ANKRD13",3.52295000423494e-37,0.837518204905741,0.986,0.863,1.05945675477357e-32,"14","ANKRD1"
