"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAMBPL1",3.01377367312021e-54,4.53039946457755,0.155,0.012,9.06332156717442e-50,"9","STAMBPL1"
"ITIH5",2.30806272914224e-107,4.53031756271746,0.258,0.015,6.94103704534946e-103,"9","ITIH5"
"DSEL",1.31141129252407e-68,4.52884743752973,0.178,0.012,3.94380718000763e-64,"9","DSEL"
"LSP1",1.77079213777286e-78,4.52053459773093,0.163,0.007,5.32530319592432e-74,"9","LSP1"
"CFI",2.40224124145467e-44,4.51735471703027,0.102,0.005,7.22426008542664e-40,"9","CFI"
"TMEM108",1.23420169143541e-87,4.51546167240957,0.212,0.012,3.71161474665372e-83,"9","TMEM108"
"TENM4",9.17867192438338e-58,4.51013017974611,0.14,0.008,2.76030200781981e-53,"9","TENM4"
"AL445250.1",1.78465536106905e-47,4.50576665200066,0.125,0.008,5.36699406734294e-43,"9","AL445250.1"
"EBF2",7.21602593693401e-173,4.48733101836626,0.439,0.03,2.17007548001417e-168,"9","EBF2"
"SOX9",3.24866035568727e-56,4.48578543624093,0.152,0.011,9.76969628765832e-52,"9","SOX9"
"FBN1",1.82627919311428e-205,4.48560971437105,0.523,0.036,5.49216941745256e-201,"9","FBN1"
"STEAP4",1.19651489925262e-104,4.48258337501679,0.25,0.014,3.59827925652242e-100,"9","STEAP4"
"PID1",2.5530425685392e-162,4.47496361494085,0.519,0.053,7.67776491636793e-158,"9","PID1"
"BOC",6.62041724900176e-58,4.46973184715109,0.125,0.006,1.9909580792923e-53,"9","BOC"
"TNXB",3.45823334409937e-157,4.46908168284452,0.383,0.023,1.039994513571e-152,"9","TNXB"
"CST3",2.50258118870432e-166,4.46889170143407,0.678,0.107,7.52601240879049e-162,"9","CST3"
"COL4A4",6.22987681199861e-128,4.46361479829728,0.413,0.041,1.87351085367234e-123,"9","COL4A4"
"PCOLCE",7.04646788606534e-76,4.46337620731271,0.22,0.018,2.11908428737643e-71,"9","PCOLCE"
"MAMDC2",3.29819108606393e-83,4.46191036798441,0.25,0.021,9.91865005312007e-79,"9","MAMDC2"
"TC2N",8.81061550370331e-91,4.45697232978574,0.174,0.006,2.6496164004287e-86,"9","TC2N"
"EPHA3",3.792950402497e-124,4.45069417965158,0.292,0.016,1.14065397454292e-119,"9","EPHA3"
"UNC5C",8.70503349282475e-119,4.4410455794101,0.303,0.02,2.61786472229719e-114,"9","UNC5C"
"GSN",1.67505316115582e-110,4.43393926950396,0.807,0.276,5.03738737154391e-106,"9","GSN"
"SLIT2",2.21232765392005e-128,4.42848369187191,0.398,0.037,6.65313295363376e-124,"9","SLIT2"
"DNM1",2.59314609255423e-37,4.41937445844933,0.106,0.008,7.79836824413835e-33,"9","DNM1"
"CYGB",2.50749716973316e-68,4.39637792156904,0.152,0.007,7.54079623853852e-64,"9","CYGB"
"KIAA1755",1.0493012184114e-51,4.39296365469458,0.117,0.006,3.15556355412861e-47,"9","KIAA1755"
"EVC2",9.38249104119904e-40,4.3926362651021,0.121,0.01,2.82159653081979e-35,"9","EVC2"
"AFAP1",5.50282569968896e-84,4.38483782890909,0.216,0.014,1.65486477266746e-79,"9","AFAP1"
"AL365295.1",9.02257624770751e-40,4.37012070438292,0.121,0.01,2.71335935497308e-35,"9","AL365295.1"
"ANXA1",5.11197249418449e-141,4.36662622993309,0.326,0.018,1.5373234881761e-136,"9","ANXA1"
"ARSJ",1.81195241945652e-50,4.36123313848978,0.102,0.004,5.44908451103159e-46,"9","ARSJ"
"CALCRL",2.66833414654554e-114,4.34915825468326,0.333,0.027,8.0244812789064e-110,"9","CALCRL"
"PTPN13",3.40765189133831e-79,4.34708245729428,0.212,0.015,1.02478315328217e-74,"9","PTPN13"
"ROBO1",1.4065024619364e-143,4.33065592327042,0.39,0.029,4.22977485378134e-139,"9","ROBO1"
"FAS",3.81326083219615e-46,4.32331231327894,0.114,0.007,1.14676193006635e-41,"9","FAS"
"VCAN",2.94554865696244e-88,4.31132521074445,0.25,0.019,8.85814847608315e-84,"9","VCAN"
"MMP2",1.3998996328197e-134,4.3012603545119,0.42,0.04,4.20991816577868e-130,"9","MMP2"
"SELENOM",5.98531584185813e-106,4.29775586414844,0.295,0.022,1.799964033122e-101,"9","SELENOM"
"FN1",9.1695526621088e-107,4.29055527715105,0.345,0.033,2.75755957207598e-102,"9","FN1"
"CD34",3.04166807375481e-133,4.28678133575992,0.307,0.016,9.14720839820284e-129,"9","CD34"
"OSMR",1.06755653209689e-56,4.28242310590781,0.17,0.014,3.21046275897498e-52,"9","OSMR"
"EBF1",9.60621045955068e-205,4.2814924658267,0.557,0.043,2.88887567150068e-200,"9","EBF1"
"SNTB1",4.24470607844131e-110,4.2766506711694,0.254,0.013,1.27651045896965e-105,"9","SNTB1"
"SUSD1",2.02402142315484e-57,4.27161998524839,0.17,0.014,6.08683962585354e-53,"9","SUSD1"
"C1RL",2.38062524658121e-49,4.26965045542446,0.144,0.012,7.15925430404366e-45,"9","C1RL"
"ZFP36L2",1.89423340062069e-109,4.26577968454797,0.432,0.057,5.69652810568661e-105,"9","ZFP36L2"
"FTL",2.42869445743439e-143,4.26112807025073,0.617,0.101,7.30381284184245e-139,"9","FTL"
"CNTNAP2",1.02894828366525e-37,4.26096640046818,0.163,0.022,3.09435617346651e-33,"9","CNTNAP2"
"APOE",4.64749623132862e-61,4.25288372685451,0.197,0.018,1.39764154164746e-56,"9","APOE"
"CTSK",9.22467545519325e-36,4.25219345660761,0.11,0.01,2.77413664964027e-31,"9","CTSK"
